fileName,oldGroupName,oldAttributeName,newGroupName,newAttributeName,attributeValue
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,0
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,0
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,2
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,1
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,3
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,1
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,0
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,1
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,0
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,0
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,2
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,0
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,2
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,2
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,3
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,2
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,2
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,0
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,0
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,2
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,1
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,0
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,8
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,0
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,0
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,0
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,0
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,0
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,0
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,2
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,3
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,4
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,0
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,0
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,4
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,0
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,2
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,0
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,3
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,1
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,0
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,0
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,0
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,4
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,1
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,1
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,2
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,0
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,2
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,0
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,0
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,0
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,1
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,0
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,0
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,1
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,0
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,2
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,1
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,3
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,2
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,0
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,2
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,2
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,4
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,1
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,1
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,2
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,0
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,2
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,1
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,1
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,2
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,1
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,2
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,3
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,0
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,3
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,1
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,4
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,0
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,0
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,1
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,0
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,3
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,0
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,0
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,2
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,3
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,0
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,3
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,0
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,2
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,1
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,0
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,2
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,3
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,0
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,1
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,4
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,2
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,0
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,2
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,1
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,1
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,1
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,2
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,0
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,2
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,0
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,0
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,0
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,2
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,1
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,0
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,2
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,2
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,2
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,1
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,3
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,2
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,1
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,3
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,0
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,0
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,0
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,3
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,0
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,1
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,3
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,3
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,2
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,3
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,0
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,0
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,3
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,0
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,0
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,2
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,0
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,2
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,1
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,1
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,0
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,1
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,0
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,1
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,0
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,2
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,1
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,4
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,1
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,2
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,2
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,2
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,5
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,0
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,1
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,3
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,0
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,0
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,4
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,3
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,3
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,3
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,3
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,1
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,0
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,1
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,3
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,1
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,1
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,0
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,0
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,0
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,2
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,1
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,1
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,0
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,0
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,0
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,0
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,2
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,0
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,0
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,0
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,5
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,2
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,0
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,2
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,1
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,1
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,0
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,2
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,4
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,3
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,2
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,2
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,0
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,3
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,1
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,0
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,0
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,1
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,1
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,3
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,1
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,0
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,2
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,0
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,0
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,2
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,1
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,2
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,3
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,3
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,4
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,1
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,0
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,0
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,0
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,5
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,0
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,2
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,4
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,0
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,3
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,0
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,3
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,3
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,0
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,1
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,1
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,1
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,0
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,1
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,1
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,4
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,2
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,2
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,0
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,1
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,3
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,2
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,0
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,0
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,3
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,3
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,0
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,2
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,0
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,1
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,0
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,0
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,1
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,0
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,0
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,2
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,1
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,1
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,0
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,0
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,2
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,0
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,1
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,0
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,3
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,0
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,0
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,1
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,0
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,2
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,3
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,2
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,1
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,2
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,1
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,3
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,0
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,1
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,1
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,0
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,1
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,0
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,1
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,1
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,0
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,1
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,0
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,1
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,0
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,0
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,4
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,0
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,1
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,1
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,5
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,2
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,2
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,2
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,2
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,0
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,0
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,2
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,2
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,2
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,0
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,2
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,1
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,4
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,1
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,0
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,1
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,2
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,3
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,0
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,0
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,2
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,2
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,0
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,0
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,1
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,3
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,1
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,2
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,2
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,0
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,1
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,0
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,3
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,3
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,0
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,3
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,1
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,2
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,0
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,3
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,1
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,1
Mroz.csv,work:no,child618,Married women who are NOT working,Number of children between ages 6 and 18,1
