fileName,oldGroupName,oldAttributeName,newGroupName,newAttributeName,attributeValue
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,1
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,0
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,1
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,1
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,1
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,0
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,1
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,0
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,0
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,0
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,0
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,1
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,1
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,0
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,1
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,0
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,0
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,0
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,0
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,0
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,0
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,1
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,0
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,0
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,0
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,1
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,1
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,0
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,0
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,0
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,0
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,0
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,0
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,0
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,0
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,1
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,0
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,0
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,1
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,1
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,1
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,0
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,0
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,1
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,0
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,1
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,0
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,0
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,0
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,1
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,1
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,0
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,0
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,0
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,1
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,0
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,0
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,1
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,0
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,0
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,1
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,0
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,1
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,1
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,0
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,0
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,1
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,0
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,1
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,1
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,0
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,1
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,0
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,1
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,1
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,0
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,0
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,0
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,1
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,0
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,1
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,1
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,0
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,0
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,0
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,0
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,1
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,0
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,0
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,0
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,0
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,1
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,1
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,0
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,0
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,1
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,0
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,1
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,0
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,1
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,0
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,NA
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,NA
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,NA
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,NA
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,NA
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,NA
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,NA
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,NA
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,NA
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,NA
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,NA
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,NA
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,NA
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,NA
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,NA
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,NA
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,NA
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,NA
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,NA
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,NA
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,NA
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,NA
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,NA
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,NA
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,NA
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,NA
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,NA
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,NA
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,NA
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,NA
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,NA
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,NA
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,NA
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,NA
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,NA
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,NA
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,NA
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,NA
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,NA
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,NA
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,NA
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,NA
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,NA
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,NA
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,NA
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,NA
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,NA
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,NA
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,NA
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,NA
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,NA
pbc.csv,bili:low,hepato,Patients with low serum bilirunbin,Presence of hepatomegaly or enlarged liver,NA
pbc.csv,bili:high,hepato,Patients with high serum bilirunbin,Presence of hepatomegaly or enlarged liver,1
pbc.csv,bili:high,hepato,Patients with high serum bilirunbin,Presence of hepatomegaly or enlarged liver,0
pbc.csv,bili:high,hepato,Patients with high serum bilirunbin,Presence of hepatomegaly or enlarged liver,1
pbc.csv,bili:high,hepato,Patients with high serum bilirunbin,Presence of hepatomegaly or enlarged liver,1
pbc.csv,bili:high,hepato,Patients with high serum bilirunbin,Presence of hepatomegaly or enlarged liver,0
pbc.csv,bili:high,hepato,Patients with high serum bilirunbin,Presence of hepatomegaly or enlarged liver,0
pbc.csv,bili:high,hepato,Patients with high serum bilirunbin,Presence of hepatomegaly or enlarged liver,1
pbc.csv,bili:high,hepato,Patients with high serum bilirunbin,Presence of hepatomegaly or enlarged liver,0
pbc.csv,bili:high,hepato,Patients with high serum bilirunbin,Presence of hepatomegaly or enlarged liver,1
pbc.csv,bili:high,hepato,Patients with high serum bilirunbin,Presence of hepatomegaly or enlarged liver,1
pbc.csv,bili:high,hepato,Patients with high serum bilirunbin,Presence of hepatomegaly or enlarged liver,1
pbc.csv,bili:high,hepato,Patients with high serum bilirunbin,Presence of hepatomegaly or enlarged liver,0
pbc.csv,bili:high,hepato,Patients with high serum bilirunbin,Presence of hepatomegaly or enlarged liver,1
pbc.csv,bili:high,hepato,Patients with high serum bilirunbin,Presence of hepatomegaly or enlarged liver,1
pbc.csv,bili:high,hepato,Patients with high serum bilirunbin,Presence of hepatomegaly or enlarged liver,1
pbc.csv,bili:high,hepato,Patients with high serum bilirunbin,Presence of hepatomegaly or enlarged liver,1
pbc.csv,bili:high,hepato,Patients with high serum bilirunbin,Presence of hepatomegaly or enlarged liver,1
pbc.csv,bili:high,hepato,Patients with high serum bilirunbin,Presence of hepatomegaly or enlarged liver,1
pbc.csv,bili:high,hepato,Patients with high serum bilirunbin,Presence of hepatomegaly or enlarged liver,1
pbc.csv,bili:high,hepato,Patients with high serum bilirunbin,Presence of hepatomegaly or enlarged liver,1
pbc.csv,bili:high,hepato,Patients with high serum bilirunbin,Presence of hepatomegaly or enlarged liver,1
pbc.csv,bili:high,hepato,Patients with high serum bilirunbin,Presence of hepatomegaly or enlarged liver,1
pbc.csv,bili:high,hepato,Patients with high serum bilirunbin,Presence of hepatomegaly or enlarged liver,1
pbc.csv,bili:high,hepato,Patients with high serum bilirunbin,Presence of hepatomegaly or enlarged liver,1
pbc.csv,bili:high,hepato,Patients with high serum bilirunbin,Presence of hepatomegaly or enlarged liver,1
pbc.csv,bili:high,hepato,Patients with high serum bilirunbin,Presence of hepatomegaly or enlarged liver,1
pbc.csv,bili:high,hepato,Patients with high serum bilirunbin,Presence of hepatomegaly or enlarged liver,0
pbc.csv,bili:high,hepato,Patients with high serum bilirunbin,Presence of hepatomegaly or enlarged liver,0
pbc.csv,bili:high,hepato,Patients with high serum bilirunbin,Presence of hepatomegaly or enlarged liver,1
pbc.csv,bili:high,hepato,Patients with high serum bilirunbin,Presence of hepatomegaly or enlarged liver,0
pbc.csv,bili:high,hepato,Patients with high serum bilirunbin,Presence of hepatomegaly or enlarged liver,1
pbc.csv,bili:high,hepato,Patients with high serum bilirunbin,Presence of hepatomegaly or enlarged liver,0
pbc.csv,bili:high,hepato,Patients with high serum bilirunbin,Presence of hepatomegaly or enlarged liver,1
pbc.csv,bili:high,hepato,Patients with high serum bilirunbin,Presence of hepatomegaly or enlarged liver,1
pbc.csv,bili:high,hepato,Patients with high serum bilirunbin,Presence of hepatomegaly or enlarged liver,1
pbc.csv,bili:high,hepato,Patients with high serum bilirunbin,Presence of hepatomegaly or enlarged liver,1
pbc.csv,bili:high,hepato,Patients with high serum bilirunbin,Presence of hepatomegaly or enlarged liver,1
pbc.csv,bili:high,hepato,Patients with high serum bilirunbin,Presence of hepatomegaly or enlarged liver,1
pbc.csv,bili:high,hepato,Patients with high serum bilirunbin,Presence of hepatomegaly or enlarged liver,1
pbc.csv,bili:high,hepato,Patients with high serum bilirunbin,Presence of hepatomegaly or enlarged liver,1
pbc.csv,bili:high,hepato,Patients with high serum bilirunbin,Presence of hepatomegaly or enlarged liver,1
pbc.csv,bili:high,hepato,Patients with high serum bilirunbin,Presence of hepatomegaly or enlarged liver,1
pbc.csv,bili:high,hepato,Patients with high serum bilirunbin,Presence of hepatomegaly or enlarged liver,0
pbc.csv,bili:high,hepato,Patients with high serum bilirunbin,Presence of hepatomegaly or enlarged liver,1
pbc.csv,bili:high,hepato,Patients with high serum bilirunbin,Presence of hepatomegaly or enlarged liver,1
pbc.csv,bili:high,hepato,Patients with high serum bilirunbin,Presence of hepatomegaly or enlarged liver,1
pbc.csv,bili:high,hepato,Patients with high serum bilirunbin,Presence of hepatomegaly or enlarged liver,0
pbc.csv,bili:high,hepato,Patients with high serum bilirunbin,Presence of hepatomegaly or enlarged liver,1
pbc.csv,bili:high,hepato,Patients with high serum bilirunbin,Presence of hepatomegaly or enlarged liver,0
pbc.csv,bili:high,hepato,Patients with high serum bilirunbin,Presence of hepatomegaly or enlarged liver,1
pbc.csv,bili:high,hepato,Patients with high serum bilirunbin,Presence of hepatomegaly or enlarged liver,1
pbc.csv,bili:high,hepato,Patients with high serum bilirunbin,Presence of hepatomegaly or enlarged liver,1
pbc.csv,bili:high,hepato,Patients with high serum bilirunbin,Presence of hepatomegaly or enlarged liver,0
pbc.csv,bili:high,hepato,Patients with high serum bilirunbin,Presence of hepatomegaly or enlarged liver,1
pbc.csv,bili:high,hepato,Patients with high serum bilirunbin,Presence of hepatomegaly or enlarged liver,1
pbc.csv,bili:high,hepato,Patients with high serum bilirunbin,Presence of hepatomegaly or enlarged liver,1
pbc.csv,bili:high,hepato,Patients with high serum bilirunbin,Presence of hepatomegaly or enlarged liver,1
pbc.csv,bili:high,hepato,Patients with high serum bilirunbin,Presence of hepatomegaly or enlarged liver,0
pbc.csv,bili:high,hepato,Patients with high serum bilirunbin,Presence of hepatomegaly or enlarged liver,1
pbc.csv,bili:high,hepato,Patients with high serum bilirunbin,Presence of hepatomegaly or enlarged liver,1
pbc.csv,bili:high,hepato,Patients with high serum bilirunbin,Presence of hepatomegaly or enlarged liver,0
pbc.csv,bili:high,hepato,Patients with high serum bilirunbin,Presence of hepatomegaly or enlarged liver,0
pbc.csv,bili:high,hepato,Patients with high serum bilirunbin,Presence of hepatomegaly or enlarged liver,1
pbc.csv,bili:high,hepato,Patients with high serum bilirunbin,Presence of hepatomegaly or enlarged liver,1
